length , start  , read   , filter , measure , tagging , sort   , end
20, 1022, 2223, 2422, 2634, 2837, 3053, 3266
21, 341, 717, 1159, 1417, 1710, 1945, 2174
22, 358, 774, 1081, 1292, 1497, 2373, 2606
23, 552, 1299, 1485, 1675, 1863, 2049, 2247
1, 680, 1224, 1413, 1604, 1792, 1979, 2176
2, 480, 924, 1140, 1385, 1644, 1875, 2137
3, 378, 727, 941, 1186, 1452, 1677, 1895
4, 3629, 6193, 7682, 9187, 10618, 12092, 13603
5, 1238, 2236, 2810, 3024, 3360, 3568, 3788
6, 1380, 2666, 3000, 3276, 3912, 4120, 4335
7, 571, 1228, 1517, 1777, 2453, 2750, 3077
8, 1882, 7267, 7497, 7724, 7972, 8199, 8411
9, 852, 1651, 1882, 2117, 2375, 2615, 2832
10, 653, 1572, 1804, 2018, 2255, 2474, 2724
11, 503, 1127, 1336, 1612, 1885, 2099, 2390
12, 465, 1091, 1283, 1472, 1668, 1856, 2058
13, 565, 1288, 1478, 1667, 1853, 2035, 2235
14, 443, 801, 985, 2065, 2251, 2431, 2609
1, 2932, 5463, 6763, 8023, 9210, 10398, 11710
2, 1125, 1961, 2184, 2397, 2639, 2859, 3080
3, 774, 1486, 1723, 1929, 2625, 2861, 3074
4, 402, 788, 1028, 1269, 1515, 1752, 1972
5, 431, 763, 960, 1158, 1351, 1543, 1741
6, 519, 1341, 1531, 1725, 1935, 2120, 2301
7, 394, 720, 913, 1109, 1301, 1494, 1703
8, 465, 954, 1170, 1367, 1573, 1785, 1990
9, 617, 1228, 1474, 1697, 1919, 2171, 2417
10, 464, 890, 1084, 1279, 1469, 1657, 1853
11, 453, 767, 960, 1150, 1336, 1524, 1722
12, 812, 1738, 2419, 2625, 2848, 3057, 3279
13, 533, 1708, 1905, 2089, 2268, 2443, 2631
14, 288, 538, 717, 907, 1086, 1281, 1454
15, 459, 764, 957, 1151, 1344, 1537, 1732
16, 577, 1378, 1563, 1748, 1930, 2117, 2305
17, 455, 786, 972, 1155, 1339, 1520, 1710
18, 556, 1053, 2122, 2382, 2626, 2837, 3295
19, 1708, 3224, 3904, 4477, 5065, 5641, 6237
20, 673, 4176, 4359, 4539, 4721, 4904, 5084
21, 497, 1155, 1335, 1515, 1692, 1871, 2059
22, 421, 725, 908, 1087, 1268, 1452, 1638
23, 453, 756, 938, 1124, 1414, 1599, 1798
1, 3124, 5742, 7213, 8624, 9921, 11185, 12482
2, 3030, 6055, 7530, 239485, 244286, 245750, 247011
3, 2061, 3977, 5189, 6413, 7618, 8835, 9996
4, 839, 1755, 1966, 2185, 2456, 2733, 2997
5, 634, 2171, 2367, 2564, 2754, 2943, 3145
6, 494, 1484, 2767, 2960, 3152, 3346, 3547
7, 823, 3088, 3274, 3454, 3641, 3826, 4019
8, 553, 1231, 1420, 1605, 1787, 1975, 2170
7, 3073, 5639, 7019, 8333, 9597, 10755, 11991
1, 699, 1369, 1597, 1836, 2054, 2265, 2535
2, 1746, 4779, 4996, 5202, 5410, 5615, 5823
3, 723, 1306, 1585, 1828, 2037, 2256, 2473
4, 1954, 3823, 4056, 4284, 4551, 4763, 4966
5, 1408, 3942, 4229, 4465, 4695, 4902, 5110
6, 819, 1599, 2390, 2874, 3286, 3542, 3803
7, 712, 1492, 1828, 2045, 2260, 2484, 2703
8, 611, 1128, 1374, 1624, 1833, 2040, 2248
9, 602, 1632, 1867, 2082, 2288, 2491, 2695
10, 422, 1147, 1388, 1610, 1850, 2104, 2322
11, 375, 762, 1003, 1529, 1788, 2059, 2291
12, 538, 1389, 1674, 1899, 2111, 2331, 2548
1, 3231, 5766, 7308, 8689, 10022, 11397, 12629
2, 946, 2106, 2342, 2611, 3325, 3613, 3875
3, 3710, 5019, 5244, 5784, 5990, 6194, 6395
4, 664, 4370, 4579, 4820, 5048, 5267, 5475
5, 767, 1414, 1636, 1872, 2102, 2338, 2597
6, 1417, 4217, 4408, 4599, 4781, 4959, 5174
7, 869, 2437, 2625, 2809, 2990, 3177, 3374
8, 540, 1241, 1434, 1625, 1812, 2000, 2201
9, 459, 834, 1023, 1209, 1400, 1591, 2374
1, 3569, 6394, 7794, 9010, 10249, 11574, 12974
2, 804, 4589, 4781, 4976, 5167, 5363, 5566
3, 804, 1552, 1848, 2058, 2276, 2512, 2735
4, 3169, 6030, 7491, 8729, 9990, 11440, 12734
5, 544, 1739, 1937, 2126, 2320, 2504, 2707
6, 553, 1521, 1724, 1915, 2105, 3299, 3513
7, 529, 1221, 1414, 1608, 1794, 1983, 2183
8, 564, 1234, 1419, 1606, 1786, 1961, 2154
9, 2950, 5464, 6808, 7985, 9255, 10443, 11707
10, 3156, 5807, 6521, 6923, 7130, 7350, 7575
